feature,mean_abs_z,mean_z,max_abs_z,n_events
env__plant_std_island0,3.432815466178109,3.432815466178109,3.432815466178109,1
prof__attn_mean_6_island1,3.432232424986169,-3.432232424986169,3.432232424986169,1
prof__attn_mass_6_island1,3.432232424986169,-3.432232424986169,3.432232424986169,1
env__sun_max_diff_0_minus_1,3.4249512750322437,3.4249512750322437,3.4249512750322437,1
env__sun_max_island1,3.4249512750322437,-3.4249512750322437,3.4249512750322437,1
env__err_signed_max_island0,3.4016021509368484,-3.4016021509368484,3.4016021509368484,1
env__sun_std_island1,3.3925208674881775,-3.3925208674881775,3.3925208674881775,1
env__sun_std_island0,3.3861721568467895,-3.3861721568467895,3.3861721568467895,1
env__err_signed_std_island0,3.3802572560665047,-3.3802572560665047,3.3802572560665047,1
env__err_abs_p50_island0,3.361638331062008,-3.361638331062008,3.361638331062008,1
env__sun_std_diff_0_minus_1,3.35873774620706,3.35873774620706,3.35873774620706,1
env__water_p50_island1,3.349461236704421,3.349461236704421,3.349461236704421,1
env__err_abs_std_island0,3.3492634167650754,-3.3492634167650754,3.3492634167650754,1
env__err_signed_p90_island0,3.3450794002243773,3.3450794002243773,3.3450794002243773,1
env__sun_mean_island1,3.3439907341499793,-3.3439907341499793,3.3439907341499793,1
env__sun_mean_diff_0_minus_1,3.342445291412402,3.342445291412402,3.342445291412402,1
env__err_abs_mean_island0,3.340172990702793,-3.340172990702793,3.340172990702793,1
env__sun_mean_island0,3.3385489279925054,3.3385489279925054,3.3385489279925054,1
env__err_signed_min_diff_0_minus_1,3.3370438426078284,3.3370438426078284,3.3370438426078284,1
env__err_signed_p25_island1,3.335362876737247,-3.335362876737247,3.335362876737247,1
env__sun_p25_island0,3.328678339303773,3.328678339303773,3.328678339303773,1
env__sun_p75_island0,3.3284126210932072,3.3284126210932072,3.3284126210932072,1
prof__corr_y_mix_true_island0,3.3265851302200944,3.3265851302200944,3.3265851302200944,1
env__water_p75_diff_0_minus_1,3.3264775764605976,3.3264775764605976,3.3264775764605976,1
env__sun_p25_diff_0_minus_1,3.325535124624458,3.325535124624458,3.325535124624458,1
env__sun_p10_island0,3.324478164227605,3.324478164227605,3.324478164227605,1
env__sun_p10_diff_0_minus_1,3.3239496816543976,3.3239496816543976,3.3239496816543976,1
env__sun_p75_diff_0_minus_1,3.319641399604796,3.319641399604796,3.319641399604796,1
env__sun_p10_island1,3.3184150950758853,-3.3184150950758853,3.3184150950758853,1
env__err_abs_p75_island0,3.317784150725273,-3.317784150725273,3.317784150725273,1
env__sun_p25_island1,3.3168103702052747,-3.3168103702052747,3.3168103702052747,1
env__sun_p75_island1,3.3167134654062904,-3.3167134654062904,3.3167134654062904,1
env__plant_p25_island0,3.3166247903554003,-3.3166247903554003,3.3166247903554003,1
env__plant_p25_diff_0_minus_1,3.3166247903554003,-3.3166247903554003,3.3166247903554003,1
env__plant_p10_island0,3.3166247903554003,-3.3166247903554003,3.3166247903554003,1
env__plant_min_island0,3.3166247903554003,-3.3166247903554003,3.3166247903554003,1
env__plant_min_diff_0_minus_1,3.3166247903554003,-3.3166247903554003,3.3166247903554003,1
env__plant_p90_diff_0_minus_1,3.3166247903554003,-3.3166247903554003,3.3166247903554003,1
env__plant_p10_diff_0_minus_1,3.3166247903554003,-3.3166247903554003,3.3166247903554003,1
env__plant_max_diff_0_minus_1,3.3166247903554003,-3.3166247903554003,3.3166247903554003,1
env__plant_p75_diff_0_minus_1,3.3166247903554003,-3.3166247903554003,3.3166247903554003,1
env__plant_p50_diff_0_minus_1,3.3166247903554003,-3.3166247903554003,3.3166247903554003,1
env__plant_p50_island1,3.3166247903554,3.3166247903554,3.3166247903554,1
env__plant_p75_island1,3.3166247903554,3.3166247903554,3.3166247903554,1
env__plant_max_island1,3.3166247903554,3.3166247903554,3.3166247903554,1
