event_epoch,pre_epoch,feature,pre,post,diff,zscore,abs_z
200,0,env__sun_max_island0,0.9994750022888184,0.9994750022888184,0.0,,
200,0,env__sun_max_island1,0.9938310980796814,0.4828416705131531,-0.5109894275665283,-3.4249512750322437,3.4249512750322437
200,0,env__sun_mean_island0,0.4992347999147354,0.7135149736153452,0.2142801737006098,3.3385489279925054,3.3385489279925054
200,0,env__sun_mean_island1,0.4854807201221849,0.2199648043657714,-0.26551591575641353,-3.3439907341499793,3.3439907341499793
200,0,env__sun_min_island0,0.0105215311050415,0.4234471917152405,0.412925660610199,3.4669709551751127,3.4669709551751127
200,0,env__sun_min_island1,0.0075133442878723,0.0075133442878723,0.0,,
200,0,env__sun_p10_island0,0.0861240267753601,0.5055813789367676,0.41945735216140745,3.324478164227605,3.324478164227605
200,0,env__sun_p10_island1,0.1061760663986206,0.0472491264343261,-0.058926939964294496,-3.3184150950758853,3.3184150950758853
200,0,env__sun_p25_island0,0.2695931196212768,0.5713297724723816,0.3017366528511048,3.328678339303773,3.328678339303773
200,0,env__sun_p25_island1,0.2485613822937011,0.1014928221702575,-0.1470685601234436,-3.3168103702052747,3.3168103702052747
200,0,env__sun_p50_island0,0.5137163400650024,0.7164892554283142,0.20277291536331177,3.310263461259877,3.310263461259877
200,0,env__sun_p50_island1,0.4673690795898437,0.2372906804084777,-0.230078399181366,-3.3130527118438633,3.3130527118438633
200,0,env__sun_p75_island0,0.739905834197998,0.8492171168327332,0.10931128263473511,3.3284126210932072,3.3284126210932072
200,0,env__sun_p75_island1,0.7300479412078857,0.3288189172744751,-0.40122902393341064,-3.3167134654062904,3.3167134654062904
200,0,env__sun_p90_island0,0.8839861035346985,0.9398048281669616,0.05581872463226312,3.316134427371509,3.316134427371509
200,0,env__sun_p90_island1,0.8893880963325501,0.3935907959938049,-0.4957973003387452,-3.3082598547746396,3.3082598547746396
200,0,env__sun_std_island0,0.2834259767508612,0.1587947077054809,-0.12463126904538027,-3.3861721568467895,3.3861721568467895
200,0,env__sun_std_island1,0.2883870030183479,0.1270439869523951,-0.1613430160659528,-3.3925208674881775,3.3925208674881775
200,0,env__water_max_island0,0.9975926876068116,0.9910451769828796,-0.006547510623931996,-1.5794416664558868,1.5794416664558868
200,0,env__water_max_island1,0.9998987317085266,0.9998987317085266,0.0,,
200,0,env__water_mean_island0,0.5079875875144936,0.5026714264300831,-0.0053161610844104645,-0.9318785800246562,0.9318785800246562
200,0,env__water_mean_island1,0.5045703392057024,0.5121179440998296,0.007547604894127202,1.0513808056250986,1.0513808056250986
200,0,env__water_min_island0,0.0023146271705627,0.0019280910491943,-0.00038653612136839996,-3.3166247903553994,3.3166247903553994
200,0,env__water_min_island1,0.0019280910491943,0.0100172162055969,0.0080891251564026,2.7528029760477826,2.7528029760477826
200,0,env__water_p10_island0,0.121162474155426,0.1266654014587402,0.005502927303314198,0.628601460746818,0.628601460746818
200,0,env__water_p10_island1,0.1072283744812011,0.1154633522033691,0.00823497772216801,1.0316277070477489,1.0316277070477489
200,0,env__water_p25_island0,0.2597976922988891,0.2659744620323181,0.006176769733429011,0.5763915798239171,0.5763915798239171
200,0,env__water_p25_island1,0.2705144882202148,0.266745001077652,-0.0037694871425628107,-0.42230026789934155,0.42230026789934155
200,0,env__water_p50_island0,0.518382728099823,0.4852808713912964,-0.03310185670852661,-3.0781302559627064,3.0781302559627064
200,0,env__water_p50_island1,0.4923883080482483,0.5561546683311462,0.06376636028289795,3.349461236704421,3.349461236704421
200,0,env__water_p75_island0,0.7642202377319336,0.776055634021759,0.01183539628982544,3.531506903799362,3.531506903799362
200,0,env__water_p75_island1,0.7515642642974854,0.7291173040866852,-0.02244696021080017,-3.125935975941611,3.125935975941611
200,0,env__water_p90_island0,0.9089372277259828,0.9007914066314696,-0.008145821094513228,-2.3169001573231816,2.3169001573231816
200,0,env__water_p90_island1,0.8898218035697937,0.910742211341858,0.020920407772064276,3.103450864067771,3.103450864067771
200,0,env__water_std_island0,0.2885771869047318,0.2868956963964166,-0.0016814905083151754,-1.0921128536181965,1.0921128536181965
200,0,env__water_std_island1,0.2801771365743371,0.2844133830283571,0.004236246454019987,1.7248558243934446,1.7248558243934446
200,0,env__plant_mean_diff_0_minus_1,1.0,0.04014220573460081,-0.9598577942653992,-3.594844098982872,3.594844098982872
200,0,env__plant_std_diff_0_minus_1,0.0,-0.014301183477228474,-0.014301183477228474,-0.896858199552305,0.896858199552305
200,0,env__plant_min_diff_0_minus_1,1.0,0.0,-1.0,-3.3166247903554003,3.3166247903554003
200,0,env__plant_p10_diff_0_minus_1,1.0,0.0,-1.0,-3.3166247903554003,3.3166247903554003
200,0,env__plant_p25_diff_0_minus_1,1.0,0.0,-1.0,-3.3166247903554003,3.3166247903554003
200,0,env__plant_p50_diff_0_minus_1,1.0,0.0,-1.0,-3.3166247903554003,3.3166247903554003
200,0,env__plant_p75_diff_0_minus_1,1.0,0.0,-1.0,-3.3166247903554003,3.3166247903554003
200,0,env__plant_p90_diff_0_minus_1,1.0,0.0,-1.0,-3.3166247903554003,3.3166247903554003
200,0,env__plant_max_diff_0_minus_1,1.0,0.0,-1.0,-3.3166247903554003,3.3166247903554003
200,0,env__sun_mean_diff_0_minus_1,0.0137540797925505,0.49355016924957384,0.47979608945702334,3.342445291412402,3.342445291412402
200,0,env__sun_std_diff_0_minus_1,-0.0049610262674867345,0.0317507207530858,0.03671174702057253,3.35873774620706,3.35873774620706
200,0,env__sun_min_diff_0_minus_1,0.0030081868171692007,0.41593384742736816,0.412925660610199,3.4669709551751127,3.4669709551751127
200,0,env__sun_p10_diff_0_minus_1,-0.020052039623260492,0.4583322525024415,0.478384292125702,3.3239496816543976,3.3239496816543976
200,0,env__sun_p25_diff_0_minus_1,0.02103173732757571,0.4698369503021241,0.44880521297454834,3.325535124624458,3.325535124624458
200,0,env__sun_p50_diff_0_minus_1,0.04634726047515875,0.47919857501983654,0.4328513145446778,3.3120748859939493,3.3120748859939493
200,0,env__sun_p75_diff_0_minus_1,0.009857892990112305,0.5203981995582581,0.5105403065681458,3.319641399604796,3.319641399604796
200,0,env__sun_p90_diff_0_minus_1,-0.005401992797851585,0.5462140321731568,0.5516160249710084,3.3092035197847522,3.3092035197847522
200,0,env__sun_max_diff_0_minus_1,0.005643904209136963,0.5166333317756653,0.5109894275665283,3.4249512750322437,3.4249512750322437
200,0,env__water_mean_diff_0_minus_1,0.0034172483087911987,-0.009446517669746468,-0.012863765978537667,-0.9987414549374939,0.9987414549374939
200,0,env__water_std_diff_0_minus_1,0.008400050330394648,0.0024823133680594855,-0.005917736962335163,-1.4896490286337127,1.4896490286337127
200,0,env__water_min_diff_0_minus_1,0.00038653612136839996,-0.0080891251564026,-0.008475661277771,-2.782071984946169,2.782071984946169
