sample,dwell_max_steps,dwell_mean_steps
277,8,3.6666666666666665
278,8,3.6666666666666665
279,11,11.0
280,11,11.0
281,8,3.6666666666666665
282,8,3.6666666666666665
283,11,11.0
284,9,3.6666666666666665
285,11,11.0
286,9,3.6666666666666665
287,8,3.6666666666666665
288,11,11.0
289,11,11.0
290,8,3.6666666666666665
291,9,3.6666666666666665
292,8,3.6666666666666665
293,11,11.0
294,11,11.0
295,8,3.6666666666666665
296,11,11.0
297,11,11.0
298,11,11.0
299,8,3.6666666666666665
300,8,3.6666666666666665
301,8,3.6666666666666665
302,9,3.6666666666666665
303,11,11.0
304,9,3.6666666666666665
305,8,3.6666666666666665
306,8,3.6666666666666665
307,8,3.6666666666666665
308,9,3.6666666666666665
309,9,3.6666666666666665
310,8,3.6666666666666665
311,11,11.0
312,11,11.0
313,9,3.6666666666666665
314,8,3.6666666666666665
315,11,11.0
316,8,3.6666666666666665
317,11,11.0
318,8,3.6666666666666665
319,11,11.0
320,9,3.6666666666666665
321,11,11.0
322,8,3.6666666666666665
323,8,3.6666666666666665
324,11,11.0
325,8,3.6666666666666665
326,9,3.6666666666666665
327,9,3.6666666666666665
328,8,3.6666666666666665
329,8,3.6666666666666665
330,9,3.6666666666666665
331,8,3.6666666666666665
332,8,2.75
333,8,3.6666666666666665
334,11,11.0
335,8,3.6666666666666665
336,11,11.0
337,11,11.0
338,9,3.6666666666666665
339,8,3.6666666666666665
340,11,11.0
341,8,3.6666666666666665
342,8,3.6666666666666665
343,9,3.6666666666666665
344,11,11.0
345,8,3.6666666666666665
346,8,3.6666666666666665
347,9,3.6666666666666665
348,11,11.0
349,8,3.6666666666666665
350,8,3.6666666666666665
351,11,11.0
352,8,3.6666666666666665
353,8,3.6666666666666665
354,8,3.6666666666666665
355,8,3.6666666666666665
356,8,3.6666666666666665
357,11,11.0
358,11,11.0
359,8,3.6666666666666665
360,8,3.6666666666666665
361,8,3.6666666666666665
362,8,3.6666666666666665
363,11,11.0
364,11,11.0
365,8,3.6666666666666665
366,8,3.6666666666666665
367,9,3.6666666666666665
368,11,11.0
369,11,11.0
370,9,3.6666666666666665
371,8,3.6666666666666665
372,11,11.0
373,9,3.6666666666666665
374,11,11.0
375,11,11.0
376,11,11.0
377,8,3.6666666666666665
378,11,11.0
379,8,3.6666666666666665
380,8,3.6666666666666665
381,9,3.6666666666666665
382,8,3.6666666666666665
383,11,11.0
384,8,3.6666666666666665
385,11,11.0
386,11,11.0
387,8,3.6666666666666665
388,8,3.6666666666666665
389,11,11.0
390,11,11.0
391,11,11.0
392,8,3.6666666666666665
393,8,3.6666666666666665
394,8,3.6666666666666665
395,8,3.6666666666666665
396,8,3.6666666666666665
397,11,11.0
398,11,11.0
399,11,11.0
400,9,3.6666666666666665
401,8,3.6666666666666665
